station_location,kjdd,rh,date,hour_temp_taken
"MINEOLA WOOD CO AIRPORT, TX US",73,27,2023-04-01,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",79,54,2023-04-02,14:35:00
"MINEOLA WOOD CO AIRPORT, TX US",88,52,2023-04-03,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",82,58,2023-04-04,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",66,49,2023-04-05,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",50,94,2023-04-06,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",57,72,2023-04-07,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",70,57,2023-04-08,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",73,50,2023-04-09,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",72,53,2023-04-10,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",73,41,2023-04-11,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",75,47,2023-04-12,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",73,47,2023-04-13,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",81,48,2023-04-14,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",82,45,2023-04-15,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",70,29,2023-04-16,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",77,24,2023-04-17,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",72,65,2023-04-18,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",79,61,2023-04-19,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",77,74,2023-04-20,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",73,36,2023-04-21,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",73,33,2023-04-22,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",75,25,2023-05-01,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",79,42,2023-05-02,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",79,34,2023-05-03,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",79,54,2023-05-04,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",88,62,2023-05-05,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",88,59,2023-05-06,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",82,70,2023-05-07,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,62,2023-05-08,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",82,66,2023-05-09,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",84,66,2023-05-11,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",84,66,2023-05-12,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",81,79,2023-05-13,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",68,100,2023-05-14,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",84,62,2023-05-15,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",77,61,2023-05-16,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",75,61,2023-05-17,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",82,55,2023-05-18,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",88,49,2023-05-19,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",73,65,2023-05-20,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",73,69,2023-05-21,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",79,45,2023-05-22,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",81,54,2023-05-23,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",79,70,2023-05-24,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",82,48,2023-05-25,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,40,2023-05-26,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",84,43,2023-05-27,14:50:00
"MINEOLA WOOD CO AIRPORT, TX US",86,43,2023-05-28,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",81,74,2023-05-29,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",84,55,2023-05-30,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,52,2023-05-31,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",88,46,2023-06-01,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,43,2023-06-02,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",68,100,2023-06-03,14:50:00
"MINEOLA WOOD CO AIRPORT, TX US",81,58,2023-06-04,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",81,66,2023-06-05,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,55,2023-06-06,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",88,49,2023-06-07,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,41,2023-06-08,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,52,2023-06-09,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",75,83,2023-06-10,14:35:00
"MINEOLA WOOD CO AIRPORT, TX US",90,55,2023-06-11,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",84,55,2023-06-12,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",77,94,2023-06-13,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,75,2023-06-14,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,71,2023-06-15,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",95,53,2023-06-29,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",93,49,2023-06-30,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,46,2023-07-01,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",81,79,2023-07-02,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",88,62,2023-07-03,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,70,2023-07-04,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,52,2023-07-05,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,56,2023-07-06,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,52,2023-07-07,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,56,2023-07-08,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,75,2023-07-09,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",88,75,2023-07-10,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",81,89,2023-07-11,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",95,56,2023-07-12,14:50:00
"MINEOLA WOOD CO AIRPORT, TX US",93,59,2023-07-13,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",95,53,2023-07-14,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",95,56,2023-07-15,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",75,89,2023-07-16,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",97,42,2023-07-17,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",99,39,2023-07-18,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",97,42,2023-07-19,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",95,47,2023-07-20,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",93,49,2023-07-21,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,52,2023-07-22,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,52,2023-07-23,14:50:00
"MINEOLA WOOD CO AIRPORT, TX US",95,39,2023-07-24,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",97,39,2023-07-25,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",95,44,2023-07-26,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",95,39,2023-07-27,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",97,39,2023-07-28,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",97,39,2023-07-29,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",99,39,2023-07-30,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",97,47,2023-07-31,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",100,37,2023-08-01,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,33,2023-08-02,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",100,35,2023-08-03,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",100,35,2023-08-04,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",100,33,2023-08-05,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",99,42,2023-08-06,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",99,44,2023-08-07,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",93,53,2023-08-08,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,29,2023-08-09,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,33,2023-08-10,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,31,2023-08-11,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,35,2023-08-12,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",100,33,2023-08-13,14:35:00
"MINEOLA WOOD CO AIRPORT, TX US",102,37,2023-08-14,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,29,2023-08-15,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,30,2023-08-16,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",104,24,2023-08-17,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",106,23,2023-08-18,14:50:00
"MINEOLA WOOD CO AIRPORT, TX US",104,28,2023-08-19,14:35:00
"MINEOLA WOOD CO AIRPORT, TX US",106,32,2023-08-20,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,33,2023-08-21,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,31,2023-08-22,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",100,35,2023-08-23,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",104,29,2023-08-24,14:50:00
"MINEOLA WOOD CO AIRPORT, TX US",106,25,2023-08-25,14:50:00
"MINEOLA WOOD CO AIRPORT, TX US",106,25,2023-08-26,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",99,42,2023-08-27,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,70,2023-08-28,14:50:00
"MINEOLA WOOD CO AIRPORT, TX US",93,34,2023-08-29,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",95,28,2023-08-30,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",95,32,2023-08-31,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",93,26,2023-09-01,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",97,25,2023-09-02,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",77,74,2023-09-03,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,52,2023-09-04,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",99,39,2023-09-05,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",100,35,2023-09-06,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,31,2023-09-07,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",97,42,2023-09-08,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,41,2023-09-09,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,40,2023-09-10,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,38,2023-09-11,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",88,49,2023-09-12,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",77,79,2023-09-13,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",73,94,2023-09-14,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",81,62,2023-09-15,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",84,48,2023-09-16,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,31,2023-09-17,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,26,2023-09-18,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,34,2023-09-19,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",88,59,2023-09-20,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,44,2023-09-21,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,66,2023-09-22,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",95,47,2023-09-23,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,63,2023-09-24,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",88,59,2023-09-25,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,34,2023-09-26,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,36,2023-09-27,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",93,39,2023-09-28,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,41,2023-09-29,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,41,2023-09-30,14:55:00
