station_location,kjwy,date,hour_temp_taken
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",74,2023-04-01,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",73,2023-04-02,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",90,2023-04-03,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",81,2023-04-04,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",67,2023-04-05,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",54,2023-04-06,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",57,2023-04-07,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",71,2023-04-08,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",69,2023-04-09,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",71,2023-04-10,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",73,2023-04-11,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",78,2023-04-12,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",78,2023-04-13,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",75,2023-04-14,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",77,2023-04-15,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",71,2023-04-16,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",78,2023-04-17,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",69,2023-04-18,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",82,2023-04-19,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",77,2023-04-20,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",75,2023-04-21,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",74,2023-04-22,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",52,2023-04-23,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",68,2023-04-24,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",67,2023-04-25,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",59,2023-04-26,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",66,2023-04-27,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",68,2023-04-28,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",70,2023-04-29,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",82,2023-04-30,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",75,2023-05-01,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",80,2023-05-02,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",82,2023-05-03,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",77,2023-05-04,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",91,2023-05-05,14:35:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",84,2023-05-06,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",83,2023-05-07,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",86,2023-05-08,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",79,2023-05-09,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",72,2023-05-10,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",85,2023-05-11,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",86,2023-05-12,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",79,2023-05-13,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",69,2023-05-14,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",82,2023-05-15,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",76,2023-05-16,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",83,2023-05-17,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",85,2023-05-18,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",89,2023-05-19,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",76,2023-05-20,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",75,2023-05-21,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",81,2023-05-22,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",83,2023-05-23,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",82,2023-05-24,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",82,2023-05-25,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",84,2023-05-26,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",84,2023-05-27,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",84,2023-05-28,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",88,2023-05-29,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",72,2023-05-30,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",88,2023-05-31,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",88,2023-06-01,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",87,2023-06-02,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",87,2023-06-04,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",82,2023-06-05,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",76,2023-06-06,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",95,2023-07-06,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",94,2023-07-07,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",96,2023-07-08,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",95,2023-07-09,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",98,2023-07-10,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",93,2023-07-11,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",102,2023-07-12,14:15:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",102,2023-07-13,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",102,2023-07-14,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",99,2023-07-15,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",84,2023-07-16,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",104,2023-07-19,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",101,2023-07-20,14:15:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",98,2023-07-21,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",95,2023-07-22,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",95,2023-07-23,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",102,2023-07-25,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",101,2023-07-26,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",99,2023-07-27,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",101,2023-07-28,14:35:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",NA,2023-07-29,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",102,2023-08-08,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",NA,2023-08-14,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",95,2023-08-15,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",96,2023-08-16,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",101,2023-08-27,14:35:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",95,2023-08-28,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",96,2023-08-29,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",97,2023-08-30,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",97,2023-08-31,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",97,2023-09-01,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",98,2023-09-02,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",88,2023-09-03,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",97,2023-09-04,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",102,2023-09-05,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",93,2023-09-09,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",92,2023-09-10,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",86,2023-09-11,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",85,2023-09-12,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",81,2023-09-13,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",75,2023-09-14,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",80,2023-09-15,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",83,2023-09-16,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",89,2023-09-17,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",92,2023-09-18,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",94,2023-09-19,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",94,2023-09-20,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",88,2023-09-21,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",95,2023-09-22,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",97,2023-09-23,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",96,2023-09-24,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",88,2023-09-25,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",91,2023-09-26,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",92,2023-09-27,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",94,2023-09-28,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",93,2023-09-29,14:55:00
"MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US",93,2023-09-30,14:55:00
